Linux 2.6.18-426.el5 (rhel5.example.com) 	10/01/18
07:50:01       788.88
08:00:01       653.62
08:10:01       638.53
08:20:01       779.32
08:30:01       615.11
08:40:01       809.34
08:50:01       711.96
09:00:01       695.93
09:10:01       580.18
09:20:01       555.01
09:30:01       548.31
09:40:01       803.19
09:50:01       871.00
10:00:01       675.00
10:10:01       659.08
10:20:01       750.98
10:30:01       660.05
10:40:01       606.50
10:50:01       701.04
11:00:01       805.20
11:10:01       752.52
11:20:01       875.68
11:30:01       635.93
11:40:01       678.11
11:50:01       813.57
12:00:01       816.33
12:10:01       754.39
12:20:01       759.21
12:30:01       684.60
12:40:01       793.84
12:50:01       788.71
13:00:01       958.98
13:10:01       665.00
13:20:01       987.71
13:30:01       747.59
13:40:01       684.36
13:50:01       873.01
14:00:01       747.48
14:10:01       752.66
14:20:01       708.37
14:30:01       578.63
14:40:01      1022.24
14:50:01       698.25
15:00:01       691.78
15:10:01       671.12
15:20:01       621.17
15:30:01       719.30
15:40:01       837.58
15:50:01       715.94
16:00:01       744.05
16:10:01       666.21
16:20:01       691.75
16:30:01       709.46
16:40:01       663.35
16:50:01       693.09
17:00:01       835.44
17:10:01       770.49
17:20:01       743.73
17:30:01       700.37
17:40:01       683.68
17:50:01       839.90
18:00:01       838.22
18:10:01       771.78
18:20:01       835.77
18:30:01       775.38
18:40:01       822.40
18:50:01       958.92
19:00:01      1072.28
19:10:01       967.43
19:20:01       793.41
19:30:01       933.43
19:40:01      1036.66
19:50:01       779.05
20:00:01       644.08
20:10:01       671.82
20:20:01       691.63
20:30:01       984.82
20:40:01       916.55
20:50:01       783.35
21:00:01       761.71
21:10:01       614.50
21:20:01       616.02
21:30:01       572.13
21:40:01       826.31
21:50:01       735.41
22:00:01       639.86
22:10:01       672.02
22:20:01       808.55
22:30:01       641.22
22:40:01       617.98
22:50:01       732.37
23:00:01       725.38
23:10:01       856.79
23:20:01       679.53
23:30:01       607.50
23:40:01       724.94
23:50:01       840.10
Average:       749.52

00:00:01          CPU     %user     %nice   %system   %iowait    %steal     %idle
00:10:01          all      0.34      0.00      0.33      0.05      0.00     99.28
00:10:01            0      0.35      0.00      0.21      0.05      0.00     99.40
00:10:01            1      0.32      0.00      0.45      0.06      0.00     99.16
00:20:01          all      0.35      0.00      0.33      0.06      0.00     99.27
00:20:01            0      0.36      0.00      0.20      0.01      0.00     99.43
00:20:01            1      0.33      0.00      0.45      0.10      0.00     99.11
00:30:01          all      0.29      0.00      0.27      0.07      0.00     99.36
00:30:01            0      0.30      0.00      0.17      0.07      0.00     99.47
00:30:01            1      0.29      0.00      0.37      0.07      0.00     99.26
00:40:01          all      0.36      0.00      0.34      0.06      0.00     99.23
00:40:01            0      0.36      0.00      0.21      0.05      0.00     99.37
00:40:01            1      0.36      0.00      0.47      0.07      0.00     99.09
00:50:02          all      0.51      0.39      0.48      0.10      0.00     98.53
00:50:02            0      0.54      0.52      0.31      0.09      0.00     98.54
00:50:02            1      0.48      0.25      0.65      0.11      0.00     98.51
01:00:01          all      0.43      0.00      0.38      0.08      0.00     99.11
01:00:01            0      0.43      0.00      0.24      0.04      0.00     99.28
01:00:01            1      0.43      0.00      0.52      0.11      0.00     98.94
01:10:01          all      0.36      0.00      0.32      0.08      0.00     99.23
01:10:01            0      0.34      0.00      0.21      0.05      0.00     99.40
01:10:01            1      0.39      0.00      0.44      0.11      0.00     99.07
01:20:01          all      0.33      0.00      0.30      0.09      0.00     99.29
01:20:01            0      0.30      0.00      0.18      0.08      0.00     99.43
01:20:01            1      0.35      0.00      0.41      0.10      0.00     99.14
01:30:01          all      0.40      0.00      0.34      0.08      0.00     99.17
01:30:01            0      0.41      0.00      0.22      0.08      0.00     99.29
01:30:01            1      0.39      0.00      0.47      0.08      0.00     99.05
01:40:01          all      0.50      0.00      0.43      0.06      0.00     99.01
01:40:01            0      0.50      0.00      0.26      0.02      0.00     99.21
01:40:01            1      0.49      0.00      0.61      0.09      0.00     98.81
01:50:01          all      0.36      0.38      0.36      0.04      0.00     98.86
01:50:01            0      0.38      0.11      0.21      0.02      0.00     99.28
01:50:01            1      0.33      0.66      0.51      0.06      0.00     98.44
02:00:01          all      0.33      0.00      0.30      0.10      0.00     99.27
02:00:01            0      0.33      0.00      0.19      0.03      0.00     99.45
02:00:01            1      0.34      0.00      0.41      0.16      0.00     99.09
02:10:01          all      0.24      0.00      0.22      0.10      0.00     99.43
02:10:01            0      0.23      0.00      0.14      0.11      0.00     99.53
02:10:01            1      0.26      0.00      0.31      0.09      0.00     99.34
02:20:01          all      0.48      0.00      0.39      0.06      0.00     99.07
02:20:01            0      0.48      0.00      0.24      0.05      0.00     99.23
02:20:01            1      0.48      0.00      0.54      0.07      0.00     98.91
02:30:01          all      0.29      0.00      0.26      0.06      0.00     99.39
02:30:01            0      0.29      0.00      0.16      0.07      0.00     99.48
02:30:01            1      0.28      0.00      0.36      0.06      0.00     99.30
02:40:01          all      0.32      0.00      0.29      0.06      0.00     99.34
02:40:01            0      0.32      0.00      0.18      0.06      0.00     99.44
02:40:01            1      0.32      0.00      0.40      0.06      0.00     99.23
02:50:01          all      0.32      0.39      0.32      0.05      0.00     98.92
02:50:01            0      0.31      0.01      0.18      0.03      0.00     99.47
02:50:01            1      0.32      0.76      0.47      0.08      0.00     98.37
03:00:01          all      0.42      0.00      0.33      0.06      0.00     99.19
03:00:01            0      0.39      0.00      0.21      0.02      0.00     99.39
03:00:01            1      0.45      0.00      0.45      0.11      0.00     98.99
03:10:01          all      0.32      0.00      0.25      0.10      0.00     99.33
03:10:01            0      0.27      0.00      0.16      0.05      0.00     99.52
03:10:01            1      0.38      0.00      0.34      0.14      0.00     99.14
03:20:01          all      0.28      0.00      0.24      0.04      0.00     99.45
03:20:01            0      0.24      0.00      0.14      0.01      0.00     99.60
03:20:01            1      0.31      0.00      0.33      0.06      0.00     99.29
03:30:01          all      0.36      0.00      0.30      0.03      0.00     99.31
03:30:01            0      0.36      0.00      0.19      0.00      0.00     99.45
03:30:01            1      0.36      0.00      0.42      0.05      0.00     99.18
03:40:01          all      0.32      0.00      0.29      0.04      0.00     99.35
03:40:01            0      0.32      0.00      0.18      0.04      0.00     99.46
03:40:01            1      0.32      0.00      0.39      0.04      0.00     99.24
03:50:01          all      0.45      0.39      0.41      0.02      0.00     98.73
03:50:01            0      0.44      0.30      0.25      0.00      0.00     99.01
03:50:01            1      0.46      0.48      0.58      0.03      0.00     98.46
04:00:01          all      0.36      0.00      0.31      0.05      0.00     99.28
04:00:01            0      0.37      0.00      0.21      0.02      0.00     99.40
04:00:01            1      0.34      0.00      0.42      0.08      0.00     99.16
04:10:01          all      0.91      0.01      0.43      0.12      0.00     98.53
04:10:01            0      0.80      0.00      0.30      0.10      0.00     98.80
04:10:01            1      1.03      0.01      0.55      0.14      0.00     98.27
04:20:01          all      0.40      0.00      0.34      0.05      0.00     99.21
04:20:01            0      0.42      0.00      0.23      0.03      0.00     99.32
04:20:01            1      0.37      0.00      0.45      0.07      0.00     99.10
04:30:01          all      0.29      0.00      0.26      0.04      0.00     99.41
04:30:01            0      0.29      0.00      0.16      0.01      0.00     99.54
04:30:01            1      0.29      0.00      0.36      0.07      0.00     99.28
04:40:01          all      0.30      0.00      0.27      0.08      0.00     99.35
04:40:01            0      0.31      0.00      0.16      0.04      0.00     99.49
04:40:01            1      0.29      0.00      0.38      0.12      0.00     99.21
04:50:01          all      0.40      0.38      0.38      0.04      0.00     98.79
04:50:01            0      0.43      0.09      0.22      0.02      0.00     99.25
04:50:01            1      0.38      0.67      0.55      0.05      0.00     98.34
05:00:01          all      0.46      0.00      0.39      0.07      0.00     99.08
05:00:01            0      0.46      0.00      0.25      0.06      0.00     99.23
05:00:01            1      0.46      0.00      0.52      0.08      0.00     98.94
05:10:01          all      0.37      0.00      0.34      0.06      0.00     99.23
05:10:01            0      0.41      0.00      0.20      0.05      0.00     99.33
05:10:01            1      0.33      0.00      0.47      0.07      0.00     99.13
05:20:01          all      0.39      0.00      0.34      0.07      0.00     99.19
05:20:01            0      0.40      0.00      0.21      0.05      0.00     99.34
05:20:01            1      0.38      0.00      0.48      0.09      0.00     99.05
05:30:01          all      0.28      0.00      0.25      0.09      0.00     99.38
05:30:01            0      0.30      0.00      0.16      0.06      0.00     99.47
05:30:01            1      0.26      0.00      0.34      0.11      0.00     99.29
05:40:01          all      0.32      0.00      0.30      0.08      0.00     99.30
05:40:01            0      0.31      0.00      0.19      0.09      0.00     99.41
05:40:01            1      0.33      0.00      0.42      0.06      0.00     99.19
05:50:01          all      0.40      0.39      0.40      0.05      0.00     98.76
05:50:01            0      0.42      0.15      0.23      0.02      0.00     99.18
05:50:01            1      0.39      0.63      0.56      0.07      0.00     98.35
06:00:01          all      0.45      0.00      0.36      0.08      0.00     99.11
06:00:01            0      0.43      0.00      0.24      0.02      0.00     99.31
06:00:01            1      0.46      0.00      0.48      0.15      0.00     98.91
06:10:01          all      0.36      0.00      0.35      0.08      0.00     99.21
06:10:01            0      0.35      0.00      0.22      0.07      0.00     99.36
06:10:01            1      0.38      0.00      0.48      0.09      0.00     99.05
06:20:01          all      0.37      0.00      0.36      0.09      0.00     99.19
06:20:01            0      0.37      0.00      0.26      0.10      0.00     99.28
06:20:01            1      0.36      0.00      0.46      0.08      0.00     99.09
06:30:01          all      0.31      0.00      0.28      0.07      0.00     99.34
06:30:01            0      0.31      0.00      0.17      0.07      0.00     99.44
06:30:01            1      0.30      0.00      0.38      0.08      0.00     99.24
06:40:01          all      0.34      0.00      0.30      0.07      0.00     99.29
06:40:01            0      0.34      0.00      0.19      0.04      0.00     99.43
06:40:01            1      0.33      0.00      0.41      0.09      0.00     99.16
06:50:01          all      0.52      0.39      0.48      0.08      0.00     98.54
06:50:01            0      0.52      0.37      0.29      0.06      0.00     98.77
06:50:01            1      0.52      0.41      0.66      0.10      0.00     98.31
07:00:01          all      0.61      0.00      0.52      0.07      0.00     98.80
07:00:01            0      0.62      0.00      0.32      0.05      0.00     99.01
07:00:01            1      0.61      0.00      0.71      0.09      0.00     98.59
07:10:01          all      0.44      0.00      0.38      0.05      0.00     99.12
07:10:01            0      0.46      0.00      0.25      0.05      0.00     99.25
07:10:01            1      0.43      0.00      0.52      0.06      0.00     98.99
07:20:01          all      0.50      0.00      0.42      0.08      0.00     99.00
07:20:01            0      0.51      0.00      0.25      0.06      0.00     99.18
07:20:01            1      0.49      0.00      0.59      0.09      0.00     98.82
07:30:01          all      0.42      0.00      0.36      0.08      0.00     99.14
07:30:01            0      0.41      0.00      0.22      0.06      0.00     99.30
07:30:01            1      0.42      0.00      0.50      0.10      0.00     98.98
07:40:01          all      0.58      0.00      0.48      0.09      0.00     98.85
07:40:01            0      0.60      0.00      0.29      0.09      0.00     99.02
07:40:01            1      0.56      0.00      0.66      0.09      0.00     98.68
07:50:01          all      0.40      0.40      0.37      0.08      0.00     98.75
07:50:01            0      0.41      0.38      0.23      0.06      0.00     98.92
07:50:01            1      0.39      0.41      0.52      0.10      0.00     98.58
08:00:01          all      0.37      0.00      0.33      0.08      0.00     99.22
08:00:01            0      0.38      0.00      0.21      0.05      0.00     99.37
08:00:01            1      0.36      0.00      0.45      0.11      0.00     99.07
08:10:01          all      0.29      0.00      0.27      0.08      0.00     99.36
08:10:01            0      0.29      0.00      0.17      0.07      0.00     99.47
08:10:01            1      0.29      0.00      0.38      0.08      0.00     99.25
08:20:01          all      0.41      0.00      0.36      0.08      0.00     99.16
08:20:01            0      0.40      0.00      0.22      0.07      0.00     99.31
08:20:01            1      0.42      0.00      0.49      0.09      0.00     99.00
08:30:01          all      0.28      0.00      0.26      0.09      0.00     99.37
08:30:01            0      0.28      0.00      0.15      0.07      0.00     99.49
08:30:01            1      0.28      0.00      0.36      0.11      0.00     99.25
08:40:01          all      0.40      0.00      0.35      0.06      0.00     99.19
08:40:01            0      0.40      0.00      0.22      0.03      0.00     99.35
08:40:01            1      0.39      0.00      0.49      0.08      0.00     99.03
08:50:01          all      0.35      0.38      0.34      0.06      0.00     98.88
08:50:01            0      0.37      0.41      0.20      0.05      0.00     98.97
08:50:01            1      0.32      0.35      0.47      0.07      0.00     98.79
09:00:01          all      0.41      0.00      0.34      0.05      0.00     99.20
09:00:01            0      0.43      0.00      0.22      0.03      0.00     99.32
09:00:01            1      0.39      0.00      0.46      0.07      0.00     99.08
09:10:01          all      0.26      0.00      0.23      0.03      0.00     99.48
09:10:01            0      0.24      0.00      0.13      0.00      0.00     99.63
09:10:01            1      0.27      0.00      0.32      0.06      0.00     99.35
09:20:01          all      0.26      0.00      0.22      0.03      0.00     99.49
09:20:01            0      0.26      0.00      0.15      0.02      0.00     99.58
09:20:01            1      0.26      0.00      0.30      0.05      0.00     99.39
09:30:01          all      0.24      0.00      0.22      0.04      0.00     99.50
09:30:01            0      0.24      0.00      0.13      0.02      0.00     99.60
09:30:01            1      0.23      0.00      0.30      0.06      0.00     99.41
09:40:01          all      0.41      0.00      0.35      0.05      0.00     99.19
09:40:01            0      0.43      0.00      0.23      0.03      0.00     99.31
09:40:01            1      0.40      0.00      0.47      0.06      0.00     99.07
09:50:01          all      0.46      0.39      0.43      0.06      0.00     98.67
09:50:01            0      0.46      0.14      0.25      0.04      0.00     99.12
09:50:01            1      0.45      0.63      0.61      0.09      0.00     98.22
10:00:01          all      0.43      0.00      0.34      0.07      0.00     99.15
10:00:01            0      0.38      0.00      0.21      0.05      0.00     99.36
10:00:01            1      0.48      0.00      0.47      0.10      0.00     98.95
10:10:01          all      1.40      0.00      0.40      0.08      0.00     98.12
10:10:01            0      0.87      0.00      0.22      0.08      0.00     98.82
10:10:01            1      1.92      0.00      0.57      0.08      0.00     97.42
10:20:01          all      0.38      0.00      0.33      0.07      0.00     99.22
10:20:01            0      0.37      0.00      0.20      0.02      0.00     99.40
10:20:01            1      0.39      0.00      0.46      0.11      0.00     99.04
10:30:01          all      0.30      0.00      0.28      0.06      0.00     99.36
10:30:01            0      0.33      0.00      0.17      0.02      0.00     99.47
10:30:01            1      0.27      0.00      0.38      0.10      0.00     99.24
10:40:01          all      0.27      0.00      0.25      0.07      0.00     99.42
10:40:01            0      0.28      0.00      0.16      0.05      0.00     99.52
10:40:01            1      0.25      0.00      0.34      0.09      0.00     99.32
10:50:01          all      0.34      0.39      0.33      0.03      0.00     98.91
10:50:01            0      0.33      0.42      0.20      0.03      0.00     99.03
10:50:01            1      0.35      0.36      0.46      0.04      0.00     98.79
11:00:01          all      0.49      0.00      0.40      0.07      0.00     99.04
11:00:01            0      0.51      0.00      0.25      0.05      0.00     99.19
11:00:01            1      0.47      0.00      0.55      0.08      0.00     98.90
11:10:01          all      0.36      0.00      0.34      0.05      0.00     99.25
11:10:01            0      0.39      0.00      0.21      0.04      0.00     99.36
11:10:01            1      0.34      0.00      0.46      0.07      0.00     99.13
11:20:01          all      0.45      0.00      0.40      0.07      0.00     99.08
11:20:01            0      0.45      0.00      0.25      0.03      0.00     99.27
11:20:01            1      0.45      0.00      0.56      0.11      0.00     98.88
11:30:01          all      0.30      0.00      0.26      0.07      0.00     99.36
11:30:01            0      0.29      0.00      0.16      0.07      0.00     99.48
11:30:01            1      0.30      0.00      0.36      0.08      0.00     99.26
11:40:01          all      0.31      0.00      0.29      0.09      0.00     99.31
11:40:01            0      0.32      0.00      0.19      0.06      0.00     99.43
11:40:01            1      0.29      0.00      0.40      0.12      0.00     99.19
11:50:01          all      0.40      0.39      0.40      0.04      0.00     98.77
11:50:01            0      0.39      0.39      0.26      0.03      0.00     98.93
11:50:01            1      0.41      0.40      0.54      0.05      0.00     98.60
12:00:01          all      0.48      0.00      0.41      0.08      0.00     99.04
12:00:01            0      0.49      0.00      0.26      0.06      0.00     99.19
12:00:01            1      0.46      0.00      0.56      0.09      0.00     98.89
12:10:01          all      0.35      0.00      0.33      0.06      0.00     99.27
12:10:01            0      0.35      0.00      0.20      0.02      0.00     99.43
12:10:01            1      0.34      0.00      0.45      0.10      0.00     99.10
12:20:01          all      0.37      0.00      0.33      0.07      0.00     99.23
12:20:01            0      0.39      0.00      0.21      0.02      0.00     99.38
12:20:01            1      0.35      0.00      0.46      0.11      0.00     99.09
12:30:01          all      0.33      0.00      0.28      0.08      0.00     99.31
12:30:01            0      0.33      0.00      0.18      0.06      0.00     99.43
12:30:01            1      0.32      0.00      0.39      0.11      0.00     99.18
12:40:01          all      0.39      0.00      0.36      0.05      0.00     99.19
12:40:01            0      0.39      0.00      0.22      0.02      0.00     99.37
12:40:01            1      0.40      0.00      0.50      0.08      0.00     99.02
12:50:01          all      0.39      0.38      0.39      0.07      0.00     98.77
12:50:01            0      0.40      0.26      0.25      0.03      0.00     99.06
12:50:01            1      0.39      0.50      0.53      0.11      0.00     98.47
13:00:01          all      0.58      0.00      0.48      0.06      0.00     98.89
13:00:01            0      0.56      0.00      0.30      0.02      0.00     99.12
13:00:01            1      0.59      0.00      0.65      0.10      0.00     98.66
13:10:01          all      0.31      0.00      0.28      0.08      0.00     99.33
13:10:01            0      0.33      0.00      0.17      0.04      0.00     99.46
13:10:01            1      0.29      0.00      0.39      0.11      0.00     99.20
13:20:01          all      0.56      0.00      0.47      0.08      0.00     98.89
13:20:01            0      0.57      0.00      0.29      0.07      0.00     99.07
13:20:01            1      0.55      0.00      0.65      0.08      0.00     98.72
13:30:01          all      0.45      0.00      0.38      0.09      0.00     99.08
13:30:01            0      0.44      0.00      0.24      0.04      0.00     99.27
13:30:01            1      0.46      0.00      0.51      0.14      0.00     98.88
13:40:01          all      0.31      0.00      0.29      0.05      0.00     99.34
13:40:01            0      0.31      0.00      0.18      0.03      0.00     99.47
13:40:01            1      0.31      0.00      0.40      0.07      0.00     99.22
13:50:01          all      0.44      0.38      0.41      0.06      0.00     98.71
13:50:01            0      0.44      0.05      0.24      0.04      0.00     99.24
13:50:01            1      0.43      0.72      0.59      0.07      0.00     98.19
14:00:01          all      0.49      0.00      0.39      0.07      0.00     99.04
14:00:01            0      0.46      0.00      0.24      0.06      0.00     99.24
14:00:01            1      0.52      0.00      0.54      0.09      0.00     98.85
14:10:01          all      0.37      0.00      0.33      0.08      0.00     99.22
14:10:01            0      0.38      0.00      0.20      0.05      0.00     99.37
14:10:01            1      0.36      0.00      0.45      0.11      0.00     99.07
14:20:01          all      0.36      0.00      0.30      0.09      0.00     99.25
14:20:01            0      0.33      0.00      0.17      0.04      0.00     99.46
14:20:01            1      0.39      0.00      0.43      0.14      0.00     99.04
14:30:01          all      0.26      0.00      0.23      0.06      0.00     99.45
14:30:01            0      0.26      0.00      0.13      0.05      0.00     99.56
14:30:01            1      0.26      0.00      0.32      0.07      0.00     99.35
14:40:01          all      0.56      0.00      0.47      0.06      0.00     98.90
14:40:01            0      0.56      0.00      0.30      0.03      0.00     99.12
14:40:01            1      0.56      0.00      0.65      0.10      0.00     98.69
14:50:01          all      0.34      0.39      0.34      0.07      0.00     98.86
14:50:01            0      0.31      0.34      0.20      0.05      0.00     99.09
14:50:01            1      0.36      0.43      0.48      0.08      0.00     98.64
15:00:01          all      0.40      0.00      0.34      0.08      0.00     99.17
15:00:01            0      0.39      0.00      0.21      0.06      0.00     99.34
15:00:01            1      0.42      0.00      0.48      0.10      0.00     99.00
15:10:01          all      0.35      0.00      0.28      0.06      0.00     99.31
15:10:01            0      0.34      0.00      0.17      0.04      0.00     99.45
15:10:01            1      0.35      0.00      0.40      0.08      0.00     99.17
15:20:01          all      0.31      0.00      0.27      0.09      0.00     99.33
15:20:01            0      0.29      0.00      0.16      0.09      0.00     99.45
15:20:01            1      0.34      0.00      0.38      0.08      0.00     99.20
15:30:01          all      0.36      0.00      0.31      0.08      0.00     99.25
15:30:01            0      0.38      0.00      0.19      0.07      0.00     99.36
15:30:01            1      0.34      0.00      0.44      0.09      0.00     99.13
15:40:01          all      0.44      0.00      0.37      0.03      0.00     99.16
15:40:01            0      0.44      0.00      0.23      0.01      0.00     99.32
15:40:01            1      0.43      0.00      0.51      0.05      0.00     99.00
15:50:01          all      0.35      0.39      0.34      0.09      0.00     98.83
15:50:01            0      0.33      0.49      0.21      0.08      0.00     98.89
15:50:01            1      0.37      0.29      0.47      0.10      0.00     98.77
16:00:01          all      0.44      0.00      0.37      0.06      0.00     99.13
16:00:01            0      0.42      0.00      0.23      0.05      0.00     99.30
16:00:01            1      0.45      0.00      0.51      0.07      0.00     98.97
16:10:01          all      0.31      0.00      0.28      0.08      0.00     99.32
16:10:01            0      0.33      0.00      0.18      0.06      0.00     99.42
16:10:01            1      0.29      0.00      0.39      0.10      0.00     99.22
16:20:01          all      0.34      0.00      0.30      0.08      0.00     99.28
16:20:01            0      0.34      0.00      0.19      0.06      0.00     99.41
16:20:01            1      0.34      0.00      0.42      0.09      0.00     99.15
16:30:01          all      0.36      0.00      0.31      0.02      0.00     99.32
16:30:01            0      0.38      0.00      0.18      0.00      0.00     99.44
16:30:01            1      0.33      0.00      0.43      0.03      0.00     99.20
16:40:01          all      0.32      0.00      0.28      0.06      0.00     99.34
16:40:01            0      0.35      0.00      0.17      0.04      0.00     99.44
16:40:01            1      0.29      0.00      0.40      0.08      0.00     99.24
16:50:01          all      0.33      0.38      0.33      0.04      0.00     98.91
16:50:01            0      0.35      0.04      0.20      0.02      0.00     99.40
16:50:01            1      0.32      0.73      0.46      0.08      0.00     98.42
17:00:01          all      0.50      0.00      0.41      0.06      0.00     99.03
17:00:01            0      0.51      0.00      0.26      0.04      0.00     99.19
17:00:01            1      0.48      0.00      0.56      0.08      0.00     98.87
17:10:01          all      0.38      0.00      0.34      0.06      0.00     99.21
17:10:01            0      0.38      0.00      0.22      0.04      0.00     99.36
17:10:01            1      0.38      0.00      0.47      0.08      0.00     99.07
17:20:01          all      0.37      0.00      0.34      0.06      0.00     99.24
17:20:01            0      0.38      0.00      0.20      0.02      0.00     99.40
17:20:01            1      0.36      0.00      0.47      0.10      0.00     99.07
17:30:01          all      0.34      0.00      0.29      0.08      0.00     99.28
17:30:01            0      0.33      0.00      0.18      0.09      0.00     99.39
17:30:01            1      0.34      0.00      0.40      0.08      0.00     99.17
17:40:01          all      0.34      0.00      0.29      0.04      0.00     99.32
17:40:01            0      0.35      0.00      0.18      0.03      0.00     99.44
17:40:01            1      0.33      0.00      0.41      0.06      0.00     99.21
17:50:01          all      0.42      0.39      0.41      0.08      0.00     98.69
17:50:01            0      0.44      0.16      0.25      0.08      0.00     99.07
17:50:01            1      0.41      0.61      0.57      0.09      0.00     98.31
18:00:01          all      0.53      0.00      0.44      0.06      0.00     98.97
18:00:01            0      0.52      0.00      0.27      0.04      0.00     99.17
18:00:01            1      0.55      0.00      0.61      0.07      0.00     98.77
18:10:01          all      0.37      0.00      0.35      0.06      0.00     99.22
18:10:01            0      0.38      0.00      0.22      0.06      0.00     99.35
18:10:01            1      0.35      0.00      0.49      0.06      0.00     99.10
18:20:01          all      0.44      0.00      0.38      0.09      0.00     99.08
18:20:01            0      0.47      0.00      0.24      0.07      0.00     99.22
18:20:01            1      0.42      0.00      0.52      0.11      0.00     98.95
18:30:01          all      0.40      0.00      0.34      0.07      0.00     99.19
18:30:01            0      0.41      0.00      0.22      0.04      0.00     99.34
18:30:01            1      0.38      0.00      0.47      0.11      0.00     99.04
18:40:01          all      0.41      0.00      0.37      0.06      0.00     99.16
18:40:01            0      0.41      0.00      0.22      0.03      0.00     99.33
18:40:01            1      0.40      0.00      0.52      0.10      0.00     98.98
18:50:01          all      0.53      0.39      0.48      0.06      0.00     98.55
18:50:01            0      0.55      0.40      0.30      0.06      0.00     98.69
18:50:01            1      0.51      0.37      0.66      0.05      0.00     98.41
19:00:01          all      0.65      0.00      0.55      0.06      0.00     98.73
19:00:01            0      0.68      0.00      0.35      0.04      0.00     98.93
19:00:01            1      0.63      0.00      0.75      0.08      0.00     98.54
19:10:01          all      0.51      0.00      0.46      0.06      0.00     98.97
